[CV] k=10 fold=2
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4022E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4021E0', 'SC4031E0', 'SC4041E0', 'SC4241E0', 'SC4251E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F2] [E06] batch 0140 | loss=0.7010 | acc=0.797
[F2] [E06] batch 0150 | loss=0.6391 | acc=0.801
[F2] [E06] batch 0160 | loss=0.6591 | acc=0.820
[F2] [E06] batch 0170 | loss=0.7208 | acc=0.789
[F2] [E06] batch 0180 | loss=0.7346 | acc=0.758
[F2] [E06] batch 0190 | loss=0.6672 | acc=0.820
[F2] [E06] batch 0200 | loss=0.6946 | acc=0.809
[F2] [E06] batch 0210 | loss=0.7576 | acc=0.738
[F2] [E06] batch 0220 | loss=0.6727 | acc=0.793
[F2] [E06] batch 0230 | loss=0.7421 | acc=0.758
[F2] [E06] batch 0240 | loss=0.7420 | acc=0.742
[F2] [E06] batch 0250 | loss=0.6605 | acc=0.797
[F2] [E06] batch 0260 | loss=0.7016 | acc=0.781
[F2] [E06] batch 0270 | loss=0.6995 | acc=0.777
[F2] [E06] batch 0280 | loss=0.7360 | acc=0.750
[F2] [E06] batch 0290 | loss=0.6726 | acc=0.801
[F2] [E06] batch 0300 | loss=0.6745 | acc=0.797
[F2] [E06] batch 0310 | loss=0.6631 | acc=0.816
[F2] [E06] batch 0320 | loss=0.7119 | acc=0.812
[F2] [E06] batch 0330 | loss=0.6750 | acc=0.793
[F2] [E06] batch 0340 | loss=0.6757 | acc=0.777
[F2] [E06] batch 0350 | loss=0.6860 | acc=0.789
[F2] [E06] batch 0360 | loss=0.6869 | acc=0.793
[F2] [E06] batch 0370 | loss=0.6520 | acc=0.832
[F2] [E06] batch 0380 | loss=0.6730 | acc=0.770
[F2] [E06] batch 0390 | loss=0.7407 | acc=0.773
[F2] [E06] batch 0400 | loss=0.6849 | acc=0.805
[F2] [E06] batch 0410 | loss=0.6615 | acc=0.824
[F2] [E06] batch 0420 | loss=0.7618 | acc=0.770
[F2] [E06] batch 0430 | loss=0.7130 | acc=0.746
[F2] [E06] batch 0440 | loss=0.6769 | acc=0.820
[F2] [E06] batch 0450 | loss=0.6861 | acc=0.785
[F2] [E06] batch 0460 | loss=0.7426 | acc=0.770
[F2] [E06] batch 0470 | loss=0.7204 | acc=0.797
[F2] [E06] total_loss=336.173 | VAL acc=0.938 | F1=0.786 | kappa=0.856
[SAVE] best fold=2 (by VAL F1)
[F2] [E07] batch 0000 | loss=0.7169 | acc=0.738
[F2] [E07] batch 0010 | loss=0.6462 | acc=0.801
[F2] [E07] batch 0020 | loss=0.7047 | acc=0.773
[F2] [E07] batch 0030 | loss=0.7028 | acc=0.777
[F2] [E07] batch 0040 | loss=0.6457 | acc=0.812
[F2] [E07] batch 0050 | loss=0.7254 | acc=0.785
[F2] [E07] batch 0060 | loss=0.7180 | acc=0.766
[F2] [E07] batch 0070 | loss=0.6865 | acc=0.805
[F2] [E07] batch 0080 | loss=0.7236 | acc=0.738
[F2] [E07] batch 0090 | loss=0.6583 | acc=0.820
[F2] [E07] batch 0100 | loss=0.6780 | acc=0.801
[F2] [E07] batch 0110 | loss=0.6993 | acc=0.773
[F2] [E07] batch 0120 | loss=0.8005 | acc=0.719
[F2] [E07] batch 0130 | loss=0.7571 | acc=0.762
[F2] [E07] batch 0140 | loss=0.6270 | acc=0.840
[F2] [E07] batch 0150 | loss=0.5670 | acc=0.875
[F2] [E07] batch 0160 | loss=0.6116 | acc=0.809
[F2] [E07] batch 0170 | loss=0.7629 | acc=0.754
[F2] [E07] batch 0180 | loss=0.6664 | acc=0.801
[F2] [E07] batch 0190 | loss=0.6758 | acc=0.805
[F2] [E07] batch 0200 | loss=0.6773 | acc=0.809
[F2] [E07] batch 0210 | loss=0.6801 | acc=0.801
