[INFO] Transformer | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
=== START TRAIN (Transformer) ===
[E02] total_loss=856.320 | VAL acc=0.870 | F1=0.702 | kappa=0.755
[E03] b0000 | loss=0.5423 | acc=0.865
[E03] b0010 | loss=0.6060 | acc=0.812
[E03] b0020 | loss=0.7432 | acc=0.771
[E03] b0030 | loss=0.5467 | acc=0.833
[E03] b0040 | loss=0.6230 | acc=0.812
[E03] b0050 | loss=0.6562 | acc=0.750
[E03] b0060 | loss=0.5336 | acc=0.833
[E03] b0070 | loss=0.5092 | acc=0.885
[E03] b0080 | loss=0.6898 | acc=0.771
[E03] b0090 | loss=0.5805 | acc=0.844
[E03] b0100 | loss=0.5214 | acc=0.865
[E03] b0110 | loss=0.5945 | acc=0.833
[E03] b0120 | loss=0.5294 | acc=0.865
[E03] b0130 | loss=0.6152 | acc=0.802
[E03] b0140 | loss=0.5735 | acc=0.833
[E03] b0150 | loss=0.5733 | acc=0.865
[E03] b0160 | loss=0.5472 | acc=0.854
[E03] b0170 | loss=0.5851 | acc=0.823
[E03] b0180 | loss=0.7870 | acc=0.698
[E03] b0190 | loss=0.5766 | acc=0.854
[E03] b0200 | loss=0.5479 | acc=0.865
[E03] b0210 | loss=0.5840 | acc=0.812
[E03] b0220 | loss=0.6678 | acc=0.812
[E03] b0230 | loss=0.5365 | acc=0.865
[E03] b0240 | loss=0.5391 | acc=0.833
[E03] b0250 | loss=0.5705 | acc=0.854
[E03] b0260 | loss=0.6375 | acc=0.792
[E03] b0270 | loss=0.6303 | acc=0.833
[E03] b0280 | loss=0.6120 | acc=0.833
[E03] b0290 | loss=0.6737 | acc=0.781
[E03] b0300 | loss=0.6812 | acc=0.750
[E03] b0310 | loss=0.6004 | acc=0.812
[E03] b0320 | loss=0.6411 | acc=0.833
[E03] b0330 | loss=0.6270 | acc=0.792
[E03] b0340 | loss=0.6131 | acc=0.812
[E03] b0350 | loss=0.7156 | acc=0.740
[E03] b0360 | loss=0.6254 | acc=0.802
[E03] b0370 | loss=0.6067 | acc=0.802
[E03] b0380 | loss=0.6094 | acc=0.812
[E03] b0390 | loss=0.5939 | acc=0.833
[E03] b0400 | loss=0.6433 | acc=0.802
[E03] b0410 | loss=0.5980 | acc=0.823
[E03] b0420 | loss=0.7063 | acc=0.792
[E03] b0430 | loss=0.6428 | acc=0.833
[E03] b0440 | loss=0.5866 | acc=0.844
[E03] b0450 | loss=0.5138 | acc=0.865
[E03] b0460 | loss=0.6037 | acc=0.802
[E03] b0470 | loss=0.5625 | acc=0.833
[E03] b0480 | loss=0.5817 | acc=0.812
[E03] b0490 | loss=0.6593 | acc=0.812
[E03] b0500 | loss=0.6408 | acc=0.802
[E03] b0510 | loss=0.5950 | acc=0.833
[E03] b0520 | loss=0.5285 | acc=0.844
[E03] b0530 | loss=0.5330 | acc=0.875
[E03] b0540 | loss=0.6133 | acc=0.823
[E03] b0550 | loss=0.5162 | acc=0.844
[E03] b0560 | loss=0.6137 | acc=0.802
[E03] b0570 | loss=0.4953 | acc=0.896
[E03] b0580 | loss=0.5544 | acc=0.823
[E03] b0590 | loss=0.5486 | acc=0.844
[E03] b0600 | loss=0.5352 | acc=0.885
[E03] b0610 | loss=0.5750 | acc=0.812
[E03] b0620 | loss=0.5534 | acc=0.833
[E03] b0630 | loss=0.5191 | acc=0.896
