[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E03] b0630 | loss=0.5157 | acc=0.883
[E03] b0640 | loss=0.5125 | acc=0.844
[E03] b0650 | loss=0.5855 | acc=0.836
[E03] b0660 | loss=0.6450 | acc=0.789
[E03] b0670 | loss=0.5040 | acc=0.867
[E03] b0680 | loss=0.5360 | acc=0.867
[E03] b0690 | loss=0.6670 | acc=0.820
[E03] b0700 | loss=0.5139 | acc=0.875
[E03] b0710 | loss=0.6720 | acc=0.797
[E03] b0720 | loss=0.6191 | acc=0.828
[E03] b0730 | loss=0.6432 | acc=0.812
[E03] b0740 | loss=0.6394 | acc=0.828
[E03] b0750 | loss=0.6462 | acc=0.805
[E03] b0760 | loss=0.6565 | acc=0.812
[E03] b0770 | loss=0.6147 | acc=0.836
[E03] b0780 | loss=0.6383 | acc=0.797
[E03] b0790 | loss=0.6581 | acc=0.812
[E03] b0800 | loss=0.5589 | acc=0.852
[E03] b0810 | loss=0.5519 | acc=0.844
[E03] b0820 | loss=0.6835 | acc=0.758
[E03] b0830 | loss=0.5396 | acc=0.852
[E03] b0840 | loss=0.5435 | acc=0.859
[E03] b0850 | loss=0.5020 | acc=0.867
[E03] b0860 | loss=0.5996 | acc=0.828
[E03] b0870 | loss=0.5767 | acc=0.883
[E03] b0880 | loss=0.6694 | acc=0.797
[E03] b0890 | loss=0.6646 | acc=0.789
[E03] b0900 | loss=0.5453 | acc=0.828
[E03] b0910 | loss=0.5925 | acc=0.820
[E03] b0920 | loss=0.6317 | acc=0.805
[E03] b0930 | loss=0.5091 | acc=0.875
[E03] b0940 | loss=0.5570 | acc=0.875
[E03] b0950 | loss=0.5986 | acc=0.812
[E03] b0960 | loss=0.6368 | acc=0.797
[E03] b0970 | loss=0.4875 | acc=0.914
[E03] b0980 | loss=0.4360 | acc=0.898
[E03] b0990 | loss=0.5790 | acc=0.852
[E03] b1000 | loss=0.6031 | acc=0.789
[E03] b1010 | loss=0.6076 | acc=0.844
[E03] b1020 | loss=0.5196 | acc=0.852
[E03] total_loss=601.358 | VAL acc=0.873 | F1=0.707 | kappa=0.756
[E04] b0000 | loss=0.4895 | acc=0.914
[E04] b0010 | loss=0.5443 | acc=0.852
[E04] b0020 | loss=0.5415 | acc=0.836
[E04] b0030 | loss=0.5201 | acc=0.859
[E04] b0040 | loss=0.4518 | acc=0.891
[E04] b0050 | loss=0.5449 | acc=0.852
[E04] b0060 | loss=0.5901 | acc=0.852
[E04] b0070 | loss=0.5773 | acc=0.852
[E04] b0080 | loss=0.5378 | acc=0.844
